"Time","request","limit","usage"
1724514000000,536870912,1073741824,25280512
1724514030000,536870912,1073741824,25280512
1724514060000,536870912,1073741824,25292800
1724514090000,536870912,1073741824,25292800
1724514120000,536870912,1073741824,25292800
1724514150000,536870912,1073741824,25296896
1724514180000,536870912,1073741824,25300992
1724514210000,536870912,1073741824,25305088
1724514240000,536870912,1073741824,25313280
1724514270000,536870912,1073741824,25313280
1724514300000,536870912,1073741824,25317376
1724514330000,536870912,1073741824,25321472
1724514360000,536870912,1073741824,25325568
1724514390000,536870912,1073741824,25329664
1724514420000,536870912,1073741824,25329664
1724514450000,536870912,1073741824,25350144
1724514480000,536870912,1073741824,25346048
1724514510000,536870912,1073741824,25350144
1724514540000,536870912,1073741824,25354240
1724514570000,536870912,1073741824,25362432
1724514600000,536870912,1073741824,25366528
1724514630000,536870912,1073741824,25366528
1724514660000,536870912,1073741824,25374720
1724514690000,536870912,1073741824,25378816
1724514720000,536870912,1073741824,25382912
1724514750000,536870912,1073741824,25387008
1724514780000,536870912,1073741824,25395200
1724514810000,536870912,1073741824,25391104
1724514840000,536870912,1073741824,25395200
1724514870000,536870912,1073741824,25399296
1724514900000,536870912,1073741824,25403392
1724514930000,536870912,1073741824,25407488
1724514960000,536870912,1073741824,25411584
1724514990000,536870912,1073741824,25415680
1724515020000,536870912,1073741824,25419776
1724515050000,536870912,1073741824,25423872
1724515080000,536870912,1073741824,25427968
1724515110000,536870912,1073741824,25432064
1724515140000,536870912,1073741824,25436160
1724515170000,536870912,1073741824,25436160
1724515200000,536870912,1073741824,25444352
1724515230000,536870912,1073741824,25444352
1724515260000,536870912,1073741824,25452544
1724515290000,536870912,1073741824,25452544
1724515320000,536870912,1073741824,25456640
1724515350000,536870912,1073741824,25460736
1724515380000,536870912,1073741824,25464832
1724515410000,536870912,1073741824,25468928
1724515440000,536870912,1073741824,25473024
1724515470000,536870912,1073741824,25481216
1724515500000,536870912,1073741824,25485312
1724515530000,536870912,1073741824,25489408
1724515560000,536870912,1073741824,25493504
1724515590000,536870912,1073741824,25501696
1724515620000,536870912,1073741824,25501696
1724515650000,536870912,1073741824,25538560
1724515680000,536870912,1073741824,25546752
